timestamp,city,temperature,description
2026-05-30T21:04:23.413Z,undefined,12.51,clear sky
2026-05-30T23:02:48.313Z,undefined,13.22,scattered clouds
2026-05-31T04:16:40.358Z,undefined,11.55,clear sky
2026-05-31T08:52:45.825Z,undefined,19.12,clear sky
2026-05-31T11:42:10.961Z,undefined,21.29,few clouds
2026-05-31T13:54:53.318Z,undefined,20.91,broken clouds
2026-05-31T15:19:43.153Z,undefined,21.84,scattered clouds
2026-05-31T17:12:23.673Z,undefined,19.02,scattered clouds
2026-05-31T19:23:25.497Z,undefined,17.49,scattered clouds
2026-05-31T21:04:58.468Z,undefined,13.47,scattered clouds
2026-05-31T23:04:40.062Z,undefined,16.78,broken clouds
2026-06-01T04:44:50.423Z,undefined,16.06,broken clouds
2026-06-01T11:45:03.062Z,undefined,22.89,scattered clouds
2026-06-01T17:50:57.447Z,undefined,18.51,scattered clouds
2026-06-01T21:38:12.066Z,undefined,14.58,few clouds
2026-06-01T23:38:21.582Z,undefined,16.23,scattered clouds
2026-06-02T04:24:12.106Z,undefined,15.67,broken clouds
2026-06-02T10:44:44.910Z,undefined,24.56,few clouds
2026-06-02T16:42:19.786Z,undefined,22.91,scattered clouds
2026-06-02T20:55:09.241Z,undefined,20.11,broken clouds
2026-06-02T23:50:19.367Z,undefined,15.67,broken clouds
2026-06-03T04:43:34.096Z,undefined,16.8,few clouds
2026-06-03T11:09:12.989Z,undefined,24.56,scattered clouds
2026-06-03T16:58:27.947Z,undefined,18.64,few clouds
2026-06-03T21:20:27.701Z,undefined,19,broken clouds
2026-06-03T23:48:21.956Z,undefined,17.89,scattered clouds
2026-06-04T04:38:15.277Z,undefined,17.89,clear sky
2026-06-04T10:02:55.088Z,undefined,25.11,clear sky
2026-06-04T15:24:57.072Z,undefined,25.67,broken clouds
2026-06-04T18:23:08.292Z,undefined,20.69,scattered clouds
2026-06-04T21:44:47.198Z,undefined,20.11,broken clouds
2026-06-04T23:12:36.655Z,undefined,18.45,light rain
2026-06-05T04:11:53.921Z,undefined,17.34,overcast clouds
2026-06-05T10:00:23.852Z,undefined,27.34,scattered clouds
2026-06-05T15:14:14.807Z,undefined,22.34,overcast clouds
2026-06-05T17:59:17.350Z,undefined,18.45,light rain
2026-06-05T20:05:34.531Z,undefined,17.34,overcast clouds
2026-06-05T23:14:20.605Z,undefined,16.23,broken clouds
2026-06-06T03:55:15.340Z,undefined,15.67,scattered clouds
2026-06-06T06:56:28.290Z,undefined,22.34,clear sky
2026-06-06T10:09:19.058Z,undefined,25.67,clear sky
2026-06-06T13:53:17.312Z,undefined,25.67,scattered clouds
2026-06-06T15:19:29.139Z,undefined,23.47,broken clouds
2026-06-06T17:18:58.441Z,undefined,22.34,broken clouds
2026-06-06T19:38:40.863Z,undefined,21.23,few clouds
2026-06-06T21:08:47.865Z,undefined,19.56,few clouds
2026-06-06T23:08:09.224Z,undefined,19,clear sky
2026-06-07T04:21:35.842Z,undefined,17.34,scattered clouds
2026-06-07T09:21:36.115Z,undefined,25.11,clear sky
2026-06-07T11:51:41.596Z,undefined,27.89,clear sky
2026-06-07T14:03:46.138Z,undefined,27.89,clear sky
2026-06-07T17:23:00.391Z,undefined,25.11,scattered clouds
2026-06-07T19:39:12.196Z,undefined,22.34,broken clouds
2026-06-07T21:18:06.136Z,undefined,21.23,broken clouds
2026-06-07T23:10:18.641Z,undefined,19.56,scattered clouds
2026-06-08T04:25:46.910Z,undefined,17.89,clear sky
2026-06-08T11:05:44.528Z,undefined,26.23,clear sky
2026-06-08T16:01:48.520Z,undefined,25.11,scattered clouds
2026-06-08T20:24:21.230Z,undefined,20.67,clear sky
2026-06-08T23:14:49.437Z,undefined,18.45,clear sky
2026-06-09T03:57:43.377Z,undefined,16.78,clear sky
2026-06-09T07:57:27.753Z,undefined,23.45,overcast clouds
2026-06-09T11:25:42.482Z,undefined,26.23,overcast clouds
2026-06-09T15:14:28.228Z,undefined,25.67,overcast clouds
2026-06-09T18:11:13.850Z,undefined,20.11,overcast clouds
2026-06-09T21:50:14.140Z,undefined,16.78,overcast clouds
2026-06-09T23:19:34.573Z,undefined,16.23,overcast clouds
2026-06-10T04:09:30.759Z,undefined,15.67,overcast clouds
2026-06-10T10:10:47.400Z,undefined,18,overcast clouds
2026-06-10T15:48:42.781Z,undefined,21.78,few clouds
2026-06-10T18:33:48.458Z,undefined,19.56,clear sky
2026-06-10T22:07:23.883Z,undefined,17.34,few clouds
2026-06-11T04:22:19.425Z,undefined,16.23,clear sky
2026-06-11T10:44:49.171Z,undefined,25.11,clear sky
2026-06-11T16:10:55.617Z,undefined,24.02,broken clouds
2026-06-11T20:27:12.261Z,undefined,21.23,few clouds
2026-06-11T23:28:10.611Z,undefined,18.45,clear sky
2026-06-12T04:24:56.038Z,undefined,18.45,clear sky
2026-06-12T10:21:00.612Z,undefined,26.78,clear sky
2026-06-12T15:25:40.467Z,undefined,28.45,clear sky
2026-06-12T18:10:49.968Z,undefined,21.25,clear sky
2026-06-12T21:51:43.166Z,undefined,21.23,broken clouds
2026-06-12T23:21:38.602Z,undefined,20.11,broken clouds
2026-06-13T04:13:39.351Z,undefined,16.78,overcast clouds
2026-06-13T09:22:56.988Z,undefined,22.89,overcast clouds
2026-06-13T11:56:30.424Z,undefined,22.34,overcast clouds
2026-06-13T14:19:02.703Z,undefined,20.73,light rain
2026-06-13T17:27:01.446Z,undefined,16.23,broken clouds
2026-06-13T19:42:52.462Z,undefined,16.23,overcast clouds
